country,Machiavellianism,Narcissism,Psychopathy
US,3.5555555555555554,3.2222222222222223,2.4444444444444446
US,4.666666666666667,2.7777777777777777,4.333333333333333
GB,3.5555555555555554,2.4444444444444446,3.111111111111111
US,4.777777777777778,2.3333333333333335,3.5555555555555554
CA,1.6666666666666667,1.3333333333333333,1.3333333333333333
US,2.2222222222222223,3.0,1.7777777777777777
US,3.6666666666666665,2.3333333333333335,3.5555555555555554
HU,4.111111111111111,3.0,2.0
US,4.222222222222222,2.6666666666666665,3.3333333333333335
AU,4.444444444444445,3.2222222222222223,2.6666666666666665
AU,3.5555555555555554,2.888888888888889,2.6666666666666665
CA,4.444444444444445,3.3333333333333335,2.5555555555555554
US,4.444444444444445,4.0,4.444444444444445
US,3.7777777777777777,3.111111111111111,2.4444444444444446
US,3.4444444444444446,4.222222222222222,2.111111111111111
GB,3.111111111111111,2.0,4.0
PH,4.333333333333333,2.4444444444444446,2.6666666666666665
US,5.0,3.3333333333333335,3.7777777777777777
US,3.888888888888889,3.3333333333333335,2.3333333333333335
GB,4.625,3.3333333333333335,2.7777777777777777
TH,3.4444444444444446,2.5555555555555554,3.0
US,3.5555555555555554,2.6666666666666665,2.2222222222222223
US,3.6666666666666665,1.8888888888888888,2.5555555555555554
US,3.888888888888889,2.888888888888889,2.7777777777777777
US,3.2222222222222223,2.5555555555555554,2.0
US,2.111111111111111,2.2222222222222223,2.4444444444444446
GB,2.7777777777777777,2.111111111111111,2.2222222222222223
NZ,3.3333333333333335,3.2222222222222223,2.7777777777777777
US,1.6666666666666667,2.7777777777777777,1.4444444444444444
CA,3.2222222222222223,2.2222222222222223,2.4444444444444446
CA,3.6666666666666665,2.5555555555555554,3.3333333333333335
CA,4.666666666666667,4.888888888888889,3.5555555555555554
US,3.6666666666666665,2.7777777777777777,3.0
US,4.333333333333333,2.6666666666666665,1.8888888888888888
US,4.222222222222222,3.4444444444444446,2.888888888888889
US,4.111111111111111,4.0,2.7777777777777777
JP,3.7777777777777777,3.5555555555555554,2.111111111111111
US,3.0,2.5555555555555554,2.0
CA,3.6666666666666665,3.0,2.3333333333333335
US,1.7777777777777777,1.7777777777777777,1.6666666666666667
US,3.0,2.7777777777777777,1.7777777777777777
US,4.222222222222222,3.6666666666666665,4.666666666666667
US,4.0,3.2222222222222223,2.7777777777777777
JP,3.6666666666666665,3.3333333333333335,3.6666666666666665
US,3.4444444444444446,3.0,3.888888888888889
GB,3.2222222222222223,2.6666666666666665,2.7777777777777777
US,4.777777777777778,3.3333333333333335,4.222222222222222
US,3.5555555555555554,3.625,3.4444444444444446
